Name,URL,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description,Photo,Order,Title
Geoff Ralston,geoff-ralston,68dc30be16bc752948662f87,67e597860dad15f1edfb0101,68dc326053de7e6ec6baf94e,false,false,Tue Sep 30 2025 19:41:20 GMT+0000 (Coordinated Universal Time),Thu Nov 13 2025 01:32:15 GMT+0000 (Coordinated Universal Time),Thu Nov 13 2025 23:36:52 GMT+0000 (Coordinated Universal Time),"Geoff was a partner at Y Combinator beginning in 2011 and served as president of the accelerator from early 2019 until the end of 2022. Geoff has worked with hundreds of YC companies like Stripe, Gingko, Clever, Helion and Boom and has been an angel investor in over 100 companies. Earlier in his career Geoff was part of the team that built Yahoo! Mail and was Yahoo!’s Chief Product Officer until 2006. Geoff was also CEO of Lala Media, which was purchased by Apple in 2009.",https://cdn.prod.website-files.com/67e597860dad15f1edfb0109/6915351d670d59ffdebc576b_SAIF%20Team%20(5).png,1,Founder
Michael Ralston,michael-ralston,68dc30be16bc752948662f87,67e597860dad15f1edfb0101,68dc33fa75aeee0e061ca4b6,false,false,Tue Sep 30 2025 19:48:10 GMT+0000 (Coordinated Universal Time),Wed Nov 12 2025 16:58:47 GMT+0000 (Coordinated Universal Time),Wed Nov 12 2025 16:59:44 GMT+0000 (Coordinated Universal Time),"Michael Ralston focuses on tracking emerging technologies and companies working to mitigate the societal risks of artificial intelligence. He monitors how AI systems impact governance, labor, security, and public trust, helping SAIF anticipate where new risks and opportunities are likely to emerge. Michael is responsible for organizing SAIF events, maintaining investment communications, and supporting startup discovery. ",https://cdn.prod.website-files.com/67e597860dad15f1edfb0109/690a36a99206faafc85fca80_SAIF%20Team%20(3).png,3,Partner
Nick Ralston,nick-ralston,68dc30be16bc752948662f87,67e597860dad15f1edfb0101,68dc33e57a7bcdc46dd7a541,false,false,Tue Sep 30 2025 19:47:49 GMT+0000 (Coordinated Universal Time),Wed Nov 05 2025 18:35:54 GMT+0000 (Coordinated Universal Time),Wed Nov 12 2025 16:59:44 GMT+0000 (Coordinated Universal Time),"Nick leads research on existential and biological risks from advanced AI systems, keeping SAIF grounded in the latest safety developments while managing the fund’s operations and portfolio tools. He also manages SAIF’s internal systems and day-to-day tools, helping the team stay organized, collaborative, and focused on making informed decisions. Before SAIF, he led product at Academy College Prep, a nonprofit providing free online college advising to students nationwide.",https://cdn.prod.website-files.com/67e597860dad15f1edfb0109/690a367eb17cd6a1c9104798_SAIF%20Team%20(2).png,2,Partner
